Entry Point: 0x7FF600CD0000
GObjects: 0x7FF603091418
GNames: 0x7FF6030913D0

Processing Package: Core

ScriptStruct: Rotator                                          - Instance: 0x22D87144880
Class: RPC_AddQuitter_X                                        - Instance: 0x22EE4962400
Class: RPC_RemoveQuitter_X                                     - Instance: 0x22EE4962000
Class: RPC_RecordMatch_X                                       - Instance: 0x22EE4961C00
Class: RPC_UpdateGameServer_X                                  - Instance: 0x22EE4961800
Class: RPC_CreateGameServer_X                                  - Instance: 0x22EE4961400
Class: ServerMetrics_X                                         - Instance: 0x22EE4961000
Class: RPC_DeactivateGameServer_X                              - Instance: 0x22EE4960C00
Class: RPC_SetServerNotJoinable_X                              - Instance: 0x22EE4960800
Class: ReservationsMetrics_X                                   - Instance: 0x22EE4960400
Class: QueuedOfflineMessage_X                                  - Instance: 0x22EE491BC00
Class: RPC_ServerToServer_X                                    - Instance: 0x22EE491B800
Class: ReservationsFullMessage_X                               - Instance: 0x22EE491B000
Class: ReservationsTeamFullMessage_X                           - Instance: 0x22EE491AC00
Class: ReservationsWaitingMessage_X                            - Instance: 0x22EE491A800
Class: ReservationsReadyMessage_X                              - Instance: 0x22EE491A400
Class: ReservationsTimedOutMessage_X                           - Instance: 0x22EE491A000
Class: ReservationsPrivateMessage_X                            - Instance: 0x22EE4919C00
Class: ReservationsPasswordMessage_X                           - Instance: 0x22EE4919800
Class: ReservationsWrongPlaylistMessage_X                      - Instance: 0x22EE4919400
Class: ReservationsWrongRankedMatchMessage_X                   - Instance: 0x22EE4919000
Class: ReservationsKeysFailedMessage_X                         - Instance: 0x22EE4918C00
Class: ReservationCrossplayDisabledMessage_X                   - Instance: 0x22EE4918800
Class: ReservationsMaxPlayersMessage_X                         - Instance: 0x22EE4918400
Class: PingMessage_X                                           - Instance: 0x22EE48FFC00
Class: RPC_GetLeaderboardValueForUserBase_X                    - Instance: 0x22EE48FF400
Class: RPC_GetSkillLeaderboardValueForUser_X                   - Instance: 0x22EE48FF800
Class: RPC_GetLeaderboardValueForUser_X                        - Instance: 0x22EE48FF000
Class: RPC_GetLeaderboardBase_X                                - Instance: 0x22EE48FE800
Class: RPC_GetSkillLeaderboard_X                               - Instance: 0x22EE48FEC00
Class: RPC_GetLeaderboard_X                                    - Instance: 0x22EE48FE400
Class: RPC_GetLeaderboardRankForUsersBase_X                    - Instance: 0x22EE48FDC00
Class: RPC_GetSkillLeaderboardRankForUsers_X                   - Instance: 0x22EE48FE000
Class: RPC_GetLeaderboardRankForUsers_X                        - Instance: 0x22EE48FD800
Class: RPC_StartMatchmaking_X                                  - Instance: 0x22EE48FD400
Class: SuperRegion_X                                           - Instance: 0x22EE48FD000
Class: RPC_PlayerCancelMatchmaking_X                           - Instance: 0x22EE48FC800
Class: RankedConfig_X                                          - Instance: 0x22EE48A7C00
Class: RPC_GetPopulation_X                                     - Instance: 0x22EE48A7800
Class: RPC_PlayerSearchPrivateMatch_X                          - Instance: 0x22EE48A7400
Class: RPC_GetSubRegions_X                                     - Instance: 0x22EE48A7000
Class: RPC_GetGameServerPingList_X                             - Instance: 0x22EE48A6C00
Class: RegionPinger_X                                          - Instance: 0x22EE48A6800
Class: RPC_GetGameServerPingList2_X                            - Instance: 0x22EE48A6400
Class: RegionPingData_X                                        - Instance: 0x22EE48A6000
Class: OnlineGameReservations_AssignTeamsByParty_X             - Instance: 0x22EE48A5C00
Class: RegionPingMessage_X                                     - Instance: 0x22EE48A5800
Class: PsyNetService_ReservationBase_X                         - Instance: 0x22EE48A5000
Class: PsyNetService_NewGame_X                                 - Instance: 0x22EE48A5400
Class: PsyNetService_Backfill_X                                - Instance: 0x22EE48A4C00
Class: PsyNetService_CreatePrivate_X                           - Instance: 0x22EE48A4800
Class: PsyNetService_JoinPrivate_X                             - Instance: 0x22EE48A4400
Class: PsyNetService_FriendJoin_X                              - Instance: 0x22EE4883C00
Class: PsyNetService_Reconnect_X                               - Instance: 0x22EE4883800
Class: RPC_GetPlayerSkill_X                                    - Instance: 0x22EE4883400
Class: RPC_GetPartyMemberSkill_X                               - Instance: 0x22EE4883000
Class: SyncedSkillData_X                                       - Instance: 0x22EE4882C00
Class: RPC_RecordMatchResults_X                                - Instance: 0x22EE4882400
Class: RPC_UpdateSkills_X                                      - Instance: 0x22EE4882800
Class: RPC_UpdateLeaderboard_X                                 - Instance: 0x22EE4881C00
Class: WordFilterConfig_X                                      - Instance: 0x22EE4881800
Class: UserBugReportComponent_X                                - Instance: 0x22EE4881400
Class: OnlinePlayerRegionRestrictions_X                        - Instance: 0x22EE4881000
Class: OnlinePlayerStorage_X                                   - Instance: 0x22EE4880C00
Class: RPC_LoginAuthPlayer_X                                   - Instance: 0x22EE4880400
Class: RPC_GetPlayerPermissions_X                              - Instance: 0x22EE47FB800
Class: OnlinePlayerStorageManifest_X                           - Instance: 0x22EE47FB400
Class: OnlinePlayerStorageConfig_X                             - Instance: 0x22EE47FB000
Class: SaveLock_X                                              - Instance: 0x22EE47FAC00
Class: RPC_PlayerStorageGet_X                                  - Instance: 0x22EE47FA800
Class: OnlineResource_X                                        - Instance: 0x22EE47FA400
Class: OnlineSaveLock_X                                        - Instance: 0x22EE47FA000
Class: RPC_PartyBase_X                                         - Instance: 0x22EE47F9800
Class: RPC_PartyMessage_X                                      - Instance: 0x22EE47F9C00
Class: PartySequence_JoinRequest_X                             - Instance: 0x22EE47F9400
Class: PartySequence_InviteToParty_X                           - Instance: 0x22EE47F9000
Class: PartySequence_LeaveParty_X                              - Instance: 0x22EE47F8C00
Class: RPC_PartyChat_X                                         - Instance: 0x22EE47F8800
Class: RPC_PartyChangeOwner_X                                  - Instance: 0x22EE47F8400
Class: RPC_PartyKickMember_X                                   - Instance: 0x22EE47AFC00
Class: RPC_PartyInfo_X                                         - Instance: 0x22EE47AF800
Class: PsyNetService_PartyUserInvited_X                        - Instance: 0x22EE47AF400
Class: PsyNetService_PartyJoinRequestReceived_X                - Instance: 0x22EE47AF000
Class: PsyNetService_PartyJoinRequestDeleted_X                 - Instance: 0x22EE47AEC00
Class: PsyNetService_PartyJoinRequestAccepted_X                - Instance: 0x22EE47AE800
Class: PsyNetService_PartySystem_X                             - Instance: 0x22EE47AE400
Class: PsyNetService_PartyUserJoined_X                         - Instance: 0x22EE47AE000
Class: PsyNetService_PartyUserKicked_X                         - Instance: 0x22EE47ADC00
Class: PsyNetService_PartyUserLeft_X                           - Instance: 0x22EE47AD800
Class: PsyNetService_PartyUserDisconnected_X                   - Instance: 0x22EE47AD400
Class: PsyNetService_PartyOwnerChanged_X                       - Instance: 0x22EE47AD000
Class: PsyNetService_PartyChat_X                               - Instance: 0x22EE47ACC00
Class: PartyMessage_GetPlatformPartyResponse_X                 - Instance: 0x22EE47AC400
Class: RPC_PartySendInvite_X                                   - Instance: 0x22EE479BC00
Class: RPC_PartyJoin_X                                         - Instance: 0x22EE479B800
Class: RPC_PartySendJoinRequest_X                              - Instance: 0x22EE479B000
Class: RPC_PartyAcceptJoinRequest_X                            - Instance: 0x22EE479AC00
Class: RPC_PartyLeave_X                                        - Instance: 0x22EE479A800
Class: PauseStaticDataSync_X                                   - Instance: 0x22EE479A400
Class: PerConMetrics_X                                         - Instance: 0x22EE479A000
Class: Platform_Console                                        - Instance: 0x22EE4799C00
Class: Platform_DedicatedServer                                - Instance: 0x22EE4799800
Class: Platform_Dingo                                          - Instance: 0x22EE4799400
Class: Platform_GameClient                                     - Instance: 0x22EE4799000
Class: Platform_NNX                                            - Instance: 0x22EE4798C00
Class: Platform_Orbis                                          - Instance: 0x22EE4798800
Class: Platform_PC                                             - Instance: 0x22EE4798400
Class: Platform_Server                                         - Instance: 0x22EE477FC00
Class: PlatformSystem_X                                        - Instance: 0x22EE477F800
Class: PostProcessManager_X                                    - Instance: 0x22EE477F400
Class: PrimaryAuthLoggedIn_TA                                  - Instance: 0x22EE477EC00
Class: PsyNetBreadcrumbObserver_X                              - Instance: 0x22EE477E800
Class: PsyNetService_DuplicateLogin_X                          - Instance: 0x22EE477E400
Class: PsyNetMetrics_X                                         - Instance: 0x22EE477DC00
Class: PsyNetService_CreateHonorDuel_X                         - Instance: 0x22EE477D800
Class: PsyNetService_Echo_X                                    - Instance: 0x22EE477D400
Class: PsyNetService_PersonaInfo_X                             - Instance: 0x22EE477D000
Class: PsyNetService_FriendAcceptedRequest_X                   - Instance: 0x22EE477CC00
Class: PsyNetService_IncomingFriendRequest_X                   - Instance: 0x22EE477C800
Class: PsyNetService_OnlineStatusUpdate_X                      - Instance: 0x22EE477C400
Class: PsyNetService_PlayerUnfriended_X                        - Instance: 0x22EE570FC00
Class: WebConfig_X                                             - Instance: 0x22EE570F800
Class: PsyNetStaticDataMetrics_X                               - Instance: 0x22EE570F400
Class: StaticDataError_X                                       - Instance: 0x22EE570F000
Class: RPC_CanShowAvatar_X                                     - Instance: 0x22EE570EC00
Class: ReservationsSettingUpMatchMessage_X                     - Instance: 0x22EE570E800
Class: RPC_AddPlayerToRole_X                                   - Instance: 0x22EE570E400
Class: RPC_ClearClubInvites_X                                  - Instance: 0x22EE570E000
Class: RPC_ClubsRecordStats_X                                  - Instance: 0x22EE570DC00
Class: RPC_FileStorage_GetFileDownloadUrl_X                    - Instance: 0x22EE570D800
Class: RPC_FileStorage_GetFileUploadUrl_X                      - Instance: 0x22EE570D400
Class: RPC_GetAntiAddictionData_X                              - Instance: 0x22EE570D000
Class: RPC_GetClubStats_X                                      - Instance: 0x22EE570CC00
Class: RPC_GetClubTitles_X                                     - Instance: 0x22EE570C800
Class: RPC_GetGenericDataAll_X                                 - Instance: 0x22EE570C400
Class: RPC_GetPlayerTitles_X                                   - Instance: 0x22EE56D7C00
Class: RPC_RemovePlayerFromRole_X                              - Instance: 0x22EE56D7800
Class: RPC_ReportExploiter_X                                   - Instance: 0x22EE56D7400
Class: RPC_ReportLowFPS_X                                      - Instance: 0x22EE56D7000
Class: RPC_SetClubMotD_X                                       - Instance: 0x22EE56D6C00
Class: RPC_SetPlayerSkill_X                                    - Instance: 0x22EE56D6800
Class: RPC_SetPlayerSkillTier_X                                - Instance: 0x22EE56D6400
Class: RPC_SetRichPresence_X                                   - Instance: 0x22EE56D6000
Class: RPC_SetSeasonReward_X                                   - Instance: 0x22EE56D5C00
Class: RPC_Test_X                                              - Instance: 0x22EE56D5800
Class: TestsHelper_X                                           - Instance: 0x22EE56D5400
Class: RPC_TestPlayerID_X                                      - Instance: 0x22EE56D5000
Class: RPC_UpdateClub_X                                        - Instance: 0x22EE56D4C00
Class: SeqAct_SpawnArchetype_X                                 - Instance: 0x22EE56D4800
Class: SkelControlBlendTargetComponent_X                       - Instance: 0x22EE56D4400
Class: SmoothDynamicValue_X                                    - Instance: 0x22EE568FC00
Class: StringUtil_X                                            - Instance: 0x22EE568F800
Class: TimeWindowOptional_X                                    - Instance: 0x22EE568F400
Class: UdpLanServer_X                                          - Instance: 0x22EE568F000

Processing Package: TAGame

ScriptStruct: MatchData                                        - Instance: 0x22EE55A4280
ScriptStruct: PrespawnData                                     - Instance: 0x22EE5597B80
ScriptStruct: VoiceRoomCredentials                             - Instance: 0x22EE5597880
ScriptStruct: PlayerVoiceRoomCredentials                       - Instance: 0x22EE5597A00
ScriptStruct: ActivePlayerVoice                                - Instance: 0x22EE5597700
ScriptStruct: VoiceRoomErrorMetric                             - Instance: 0x22EE5597580
ScriptStruct: VoiceRoomPlayerActivity                          - Instance: 0x22EE5597400
ScriptStruct: VoiceRoomDetails                                 - Instance: 0x22EE5597D00
ScriptStruct: VehicleInputs                                    - Instance: 0x22EE5597100
ScriptStruct: ClientOnlineProductStat                          - Instance: 0x22EE5596F80
ScriptStruct: RandomWeight                                     - Instance: 0x22EE5596C80
ScriptStruct: AssetLoadResult                                  - Instance: 0x22EE5596980
ScriptStruct: ProductThumbnailResult                           - Instance: 0x22EE5596500
ScriptStruct: MapImageLoadResult                               - Instance: 0x22EE5596380
ScriptStruct: ClientLoadoutData                                - Instance: 0x22EE5596080
ScriptStruct: LoadoutTeamColor                                 - Instance: 0x22EE5595C00
ScriptStruct: LoadoutTeamPaint                                 - Instance: 0x22EE5595D80
ScriptStruct: LoadoutData                                      - Instance: 0x22EE5595F00
ScriptStruct: ClientLoadoutOnlineProduct                       - Instance: 0x22EE5594D00
ScriptStruct: ClientLoadoutOnlineData                          - Instance: 0x22EE5595A80
ScriptStruct: InputRate                                        - Instance: 0x22EE5595780
ScriptStruct: TurningCircle                                    - Instance: 0x22EE5595600
ScriptStruct: GFxTeamColor                                     - Instance: 0x22EE5594700
ScriptStruct: MapGroup                                         - Instance: 0x22EE5594580
ScriptStruct: StatValue                                        - Instance: 0x22EE5593B80
ScriptStruct: VoiceRoomTokenRequest                            - Instance: 0x22EE5593700
ScriptStruct: PlayerIdArray                                    - Instance: 0x22EE5593580
ScriptStruct: ProductWithSettings                              - Instance: 0x22EE5593400
ScriptStruct: ProductTradeInFilter                             - Instance: 0x22EE5593280
ScriptStruct: ColorOverride                                    - Instance: 0x22EE5593100
ScriptStruct: TeamColor                                        - Instance: 0x22EE5592F80
ScriptStruct: MapSkillSettings                                 - Instance: 0x22EE5592E00
ScriptStruct: MaterialTextureParam                             - Instance: 0x22EE5592800
ScriptStruct: MaterialVectorParam                              - Instance: 0x22EE5592500
ScriptStruct: MaterialScalarParam                              - Instance: 0x22EE5592980
ScriptStruct: MaterialParams                                   - Instance: 0x22EE5592B00
ScriptStruct: AssociativeMaterialParams                        - Instance: 0x22EE5592380
ScriptStruct: SkinBodySettings                                 - Instance: 0x22EE5592C80
ScriptStruct: UniqueNetIdGroup4                                - Instance: 0x22EE5592680
ScriptStruct: OnlineProductAttribute                           - Instance: 0x22EE5591D80
ScriptStruct: OnlineProductData                                - Instance: 0x22EE5591F00
ScriptStruct: CurrencyProductData                              - Instance: 0x22EE5591A80
ScriptStruct: Currency                                         - Instance: 0x22EE5591C00
ScriptStruct: OnlineXPModifier                                 - Instance: 0x22EE5591600
ScriptStruct: OnlineXPReward                                   - Instance: 0x22EE5591780
ScriptStruct: OnlineProductDrop                                - Instance: 0x22EE5592200
ScriptStruct: ChallengeRequirementProgress                     - Instance: 0x22EE5591480
ScriptStruct: ChallengeProgress                                - Instance: 0x22EE5592080
ScriptStruct: XPRewardData                                     - Instance: 0x22EE5591900
ScriptStruct: GarageSlotCost                                   - Instance: 0x22EE5591300
ScriptStruct: ProductDrop                                      - Instance: 0x22EE5591180
ScriptStruct: RPCIntroCar                                      - Instance: 0x22EE5591000
ScriptStruct: IntroCarInfo                                     - Instance: 0x22EE5590D00
ScriptStruct: EditorIntroCar                                   - Instance: 0x22EE5590E80
ScriptStruct: AppliedBreakoutDamage                            - Instance: 0x22EE5590B80
ScriptStruct: PaintAttributeParameter                          - Instance: 0x22EE5590A00
ScriptStruct: ProductLevelData                                 - Instance: 0x22EE5590880
ScriptStruct: BallPredictionInfo                               - Instance: 0x22EE5590700
ScriptStruct: StatData                                         - Instance: 0x22EE5590280
ScriptStruct: QuickChatGroup                                   - Instance: 0x22EE5590400
ScriptStruct: OnlinePlayerMatchData                            - Instance: 0x22EE5590580
ScriptStruct: StatDataFloat                                    - Instance: 0x22EE5590100
ScriptStruct: ActorHistory                                     - Instance: 0x22EE5583E80
ScriptStruct: SortedProductData                                - Instance: 0x22EE5583D00
ScriptStruct: EditorRoundData                                  - Instance: 0x22EE5583B80
ScriptStruct: LoadObjectResult                                 - Instance: 0x22EE5583A00
ScriptStruct: SaveObjectResult                                 - Instance: 0x22EE5583880
ScriptStruct: WeldingInfo                                      - Instance: 0x22EE5583700
ScriptStruct: ChatBanInfo                                      - Instance: 0x22EE5583580
ScriptStruct: PlayerChatMessage                                - Instance: 0x22EE5583400
ScriptStruct: ReportedPlayerInfo                               - Instance: 0x22EE5583280
ScriptStruct: BoostOptionData                                  - Instance: 0x22EE5583100
ScriptStruct: GoalResetOptionData                              - Instance: 0x22EE5582F80
ScriptStruct: GameModeData                                     - Instance: 0x22EE5582E00
ScriptStruct: SimilarLogoGroup                                 - Instance: 0x22EE5582C80
ScriptStruct: UIProductSlotData                                - Instance: 0x22EE5582B00
ScriptStruct: SimpleSpringSettings                             - Instance: 0x22EE5582980
ScriptStruct: WheelContactData                                 - Instance: 0x22EE5582800
ScriptStruct: WheelAttachment                                  - Instance: 0x22EE5582680
ScriptStruct: ProductAttachment                                - Instance: 0x22EE5582500
ScriptStruct: AccumulatedRigidBodyCollision                    - Instance: 0x22EE5582380
ScriptStruct: TAPlayerStat                                     - Instance: 0x22EE5582200
ScriptStruct: BallHitInfo                                      - Instance: 0x22EE5582080
ScriptStruct: MessageValue                                     - Instance: 0x22EE5581D80
ScriptStruct: MessagePacket                                    - Instance: 0x22EE5581F00
ScriptStruct: ClientFrameData                                  - Instance: 0x22EE5581C00
ScriptStruct: OnlineProductStat                                - Instance: 0x22EE5581A80
ScriptStruct: ProductAttributesArray                           - Instance: 0x22EE5581780
ScriptStruct: LoadoutAttributesArray                           - Instance: 0x22EE5581900
ScriptStruct: LoadoutProductData                               - Instance: 0x22EE5581300
ScriptStruct: ServerSetLoadoutTeam                             - Instance: 0x22EE5581480
ScriptStruct: ServerSetLoadoutParams                           - Instance: 0x22EE5581600
ScriptStruct: RandomRange                                      - Instance: 0x22EE5581180
ScriptStruct: SchematicResourceData                            - Instance: 0x22EE5581000
ScriptStruct: ProfileProduct                                   - Instance: 0x22EE5580E80
ScriptStruct: ProductFilter                                    - Instance: 0x22EE5580D00
ScriptStruct: ThumbnailComponent                               - Instance: 0x22EE5580B80
ScriptStruct: RocketPassTierBonusRange                         - Instance: 0x22EE5580880
ScriptStruct: RocketPassUnlock                                 - Instance: 0x22EE5580700
ScriptStruct: RocketPassRewardData                             - Instance: 0x22EE5580280
ScriptStruct: RocketPassExtendedRewardData                     - Instance: 0x22EE5580400
ScriptStruct: RocketPassPage                                   - Instance: 0x22EE5580580
ScriptStruct: RocketPassInfo                                   - Instance: 0x22EE5580100
ScriptStruct: RocketPassBundleInfo                             - Instance: 0x22EE555FD00
ScriptStruct: RocketPassStore                                  - Instance: 0x22EE555FE80
ScriptStruct: OnlineReward                                     - Instance: 0x22EE555FB80
ScriptStruct: OnlineProductTimestampedData                     - Instance: 0x22EE555FA00
ScriptStruct: TradeSkipValidation                              - Instance: 0x22EE555F880
ScriptStruct: SeasonMatch                                      - Instance: 0x22EE555F700
ScriptStruct: SeasonTeam                                       - Instance: 0x22EE555F580
ScriptStruct: SeasonPlayerStat                                 - Instance: 0x22EE555F400
ScriptStruct: SeasonPlayer                                     - Instance: 0x22EE555F280
ScriptStruct: SeasonTeamRank                                   - Instance: 0x22EE555F100
ScriptStruct: ReplayHeaderLoadResult                           - Instance: 0x22EE555EF80
ScriptStruct: ProfileAutoCamSettings                           - Instance: 0x22EE555EE00
ScriptStruct: ProfileCameraSettings                            - Instance: 0x22EE555EC80
ScriptStruct: StatEventScore                                   - Instance: 0x22EE555EB00
ScriptStruct: XPInfo                                           - Instance: 0x22EE555E980
ScriptStruct: ProductStat                                      - Instance: 0x22EE555E800
ScriptStruct: DemolishInvulnerability                          - Instance: 0x22EE555E680
ScriptStruct: DemolishData                                     - Instance: 0x22EE555E200
ScriptStruct: DemolishDataGoalExplosion                        - Instance: 0x22EE555E380
ScriptStruct: DemolishDataExtended                             - Instance: 0x22EE555E500
ScriptStruct: DemolishData2                                    - Instance: 0x22EE555E080
ScriptStruct: UISavedKeyValue                                  - Instance: 0x22EE555DF00
ScriptStruct: PlaylistMapPrefs                                 - Instance: 0x22EE555DD80
ScriptStruct: NetBucketMetrics                                 - Instance: 0x22EE555DC00
ScriptStruct: FPSBucketMetrics                                 - Instance: 0x22EE555DA80
ScriptStruct: BodyToEngineAudioPair                            - Instance: 0x22EE555D900
ScriptStruct: PartyUpMergeError                                - Instance: 0x22EE555D780
ScriptStruct: AutoFlipData                                     - Instance: 0x22EE555D600
ScriptStruct: StickyForceData                                  - Instance: 0x22EE555D480
ScriptStruct: WaveParams                                       - Instance: 0x22EE555D300
ScriptStruct: PersonaDataId                                    - Instance: 0x22EE555D180
ScriptStruct: PaintWithOverride                                - Instance: 0x22EE555D000
ScriptStruct: PlayerActorIDPair                                - Instance: 0x22EE555CE80
ScriptStruct: CustomGameSetting                                - Instance: 0x22EE555CD00
ScriptStruct: ModeMapPair                                      - Instance: 0x22EE555CB80
ScriptStruct: OnlineFreeplayOption                             - Instance: 0x22EE555CA00
ScriptStruct: ItemShopNotificationData                         - Instance: 0x22EE555C580
ScriptStruct: ShopCurrencyInfo                                 - Instance: 0x22EE555C100
ScriptStruct: DestructionProductValue                          - Instance: 0x22EE555C400
ScriptStruct: ShopData                                         - Instance: 0x22EE555C280
ScriptStruct: ShopDeliverable                                  - Instance: 0x22EE5553A00
ScriptStruct: ShopPrice                                        - Instance: 0x22EE5553700
ScriptStruct: ShopDiscount                                     - Instance: 0x22EE5553400
ScriptStruct: ShopCost                                         - Instance: 0x22EE5553880
ScriptStruct: OnlineShopAttribute                              - Instance: 0x22EE5553B80
ScriptStruct: ShopItem                                         - Instance: 0x22EE5553D00
ScriptStruct: ShopCatalogue                                    - Instance: 0x22EE5553E80
ScriptStruct: CurrencyProductData                              - Instance: 0x22EE5553280
ScriptStruct: ShopCurrency                                     - Instance: 0x22EE5553580
ScriptStruct: ShopCurrencyData                                 - Instance: 0x22EE5553100
ScriptStruct: TourPlayer                                       - Instance: 0x22EE5552200
ScriptStruct: TourReward                                       - Instance: 0x22EE5552080
ScriptStruct: TourTeam                                         - Instance: 0x22EE5551F00
ScriptStruct: TourMatchGame                                    - Instance: 0x22EE5551A80
ScriptStruct: TourPlayerStats                                  - Instance: 0x22EE5551900
ScriptStruct: TourMatch                                        - Instance: 0x22EE5551780
ScriptStruct: IntPair                                          - Instance: 0x22EE5551600
ScriptStruct: QWORDPair                                        - Instance: 0x22EE5551480
ScriptStruct: TourMatchNode                                    - Instance: 0x22EE5551300
ScriptStruct: TourPlacementInfo                                - Instance: 0x22EE5551180
ScriptStruct: TourLeaderboard                                  - Instance: 0x22EE5551000
ScriptStruct: TourMatchPlayerStats                             - Instance: 0x22EE5550E80
ScriptStruct: TourMatchTeamDetails                             - Instance: 0x22EE5550D00
ScriptStruct: TourBracket                                      - Instance: 0x22EE5550B80
ScriptStruct: CachedPodiumCar                                  - Instance: 0x22EE5533880
ScriptStruct: PendingHit                                       - Instance: 0x22EE5533100
ScriptStruct: WheelSkelControlSet                              - Instance: 0x22EE5531180
ScriptStruct: CrumbTrailData                                   - Instance: 0x22EE5516380
ScriptStruct: EOSGameClipsAccountLinkInfo                      - Instance: 0x22EE5515300
ScriptStruct: EOSGameClipsClipInfo                             - Instance: 0x22EE5515180
ScriptStruct: VoiceRoomToken                                   - Instance: 0x22EE5514E80
ScriptStruct: MappedRoomMember                                 - Instance: 0x22EE5514A00
ScriptStruct: VoiceRoom                                        - Instance: 0x22EE5514400
ScriptStruct: PlatformAudioDevices                             - Instance: 0x22EE550B400
ScriptStruct: EpicConvertFriendsSaveData                       - Instance: 0x22EE550AC80
ScriptStruct: FTEGroup                                         - Instance: 0x22EE5509480
ScriptStruct: CompletedFTEInfo                                 - Instance: 0x22EE5508D00
ScriptStruct: FTELevelData                                     - Instance: 0x22EE5508700
ScriptStruct: FTEChallengeInfo                                 - Instance: 0x22EE54ED480
ScriptStruct: SafeZoneInfo                                     - Instance: 0x22EE54E9D80
ScriptStruct: PlayerLeavingData                                - Instance: 0x22EE5477E80
ScriptStruct: ClubMemberCount                                  - Instance: 0x22EE546C400
ScriptStruct: PendingClubStatRecord                            - Instance: 0x22EE546C280
ScriptStruct: SeriesTeam                                       - Instance: 0x22EE545FB80
ScriptStruct: MemberTitleStat                                  - Instance: 0x22EE545EE00
ScriptStruct: FpsBucketData                                    - Instance: 0x22EE545DD80
ScriptStruct: GameEventData                                    - Instance: 0x22EE53E1900
ScriptStruct: PostMatchCelebrationData                         - Instance: 0x22EE53E1780
ScriptStruct: BallData                                         - Instance: 0x22EE53E1300
ScriptStruct: CarGoalData                                      - Instance: 0x22EE53E1180
ScriptStruct: CarData                                          - Instance: 0x22EE53E1000
ScriptStruct: GFxChatMessage                                   - Instance: 0x22EE53C7A00
ScriptStruct: NotificationCooldown                             - Instance: 0x22EE53B8580
ScriptStruct: PendingError                                     - Instance: 0x22EE539FA00
ScriptStruct: MenuTreeNodeData                                 - Instance: 0x22EE538EE00
ScriptStruct: MenuTreeFocusMap                                 - Instance: 0x22EE538EB00
ScriptStruct: MTXPurchaseInfo                                  - Instance: 0x22EE538E500
ScriptStruct: GFxMusicPlaylist                                 - Instance: 0x22EE537FB80
ScriptStruct: GFXNotificationInfo                              - Instance: 0x22EE537E980
ScriptStruct: InviteDatabind                                   - Instance: 0x22EE537D180
ScriptStruct: InviteTarget                                     - Instance: 0x22EE537D000
ScriptStruct: ProductHashSource                                - Instance: 0x22EE5373880
ScriptStruct: FilterProductSlot                                - Instance: 0x22EE5372B00
ScriptStruct: FilterProductQuality                             - Instance: 0x22EE5372980
ScriptStruct: FilterProductAttribute                           - Instance: 0x22EE5372800
ScriptStruct: FilterProductExtraAttributeEntry                 - Instance: 0x22EE5372500
ScriptStruct: FilterProductSeries                              - Instance: 0x22EE5372380
ScriptStruct: FilterProductPaint                               - Instance: 0x22EE5372200
ScriptStruct: FilterProductSorting                             - Instance: 0x22EE5372080
ScriptStruct: TradeIn                                          - Instance: 0x22EE5356E00
ScriptStruct: TourServerSettings                               - Instance: 0x22EE5351780
ScriptStruct: TourPrivateCredentials                           - Instance: 0x22EE5351600
ScriptStruct: TourCreateSettings                               - Instance: 0x22EE5350B80
ScriptStruct: DragonEntry                                      - Instance: 0x22EE5338880
ScriptStruct: OnlineMapData                                    - Instance: 0x22EE630F580
ScriptStruct: OnlineMapSet                                     - Instance: 0x22EE630F280
ScriptStruct: ActivePlaylistInfo                               - Instance: 0x22EE630E380
ScriptStruct: RankedUnlockCondition                            - Instance: 0x22EE630E200
ScriptStruct: ResimMetricData                                  - Instance: 0x22EE62DF400
ScriptStruct: PlatformMetricData                               - Instance: 0x22EE62DF100
ScriptStruct: PlatformMetric                                   - Instance: 0x22EE62DEF80
ScriptStruct: OptionsValue                                     - Instance: 0x22EE62DD600
ScriptStruct: PlaylistSkillData                                - Instance: 0x22EE62DD480
ScriptStruct: LegalTextVersion                                 - Instance: 0x22EE62DD000
ScriptStruct: ParameterInformation                             - Instance: 0x22EE62DCA00
ScriptStruct: BodyChassisOverride                              - Instance: 0x22EE62DC880
ScriptStruct: PaintColorParameterOverride                      - Instance: 0x22EE62D2680
ScriptStruct: PlayerGameID                                     - Instance: 0x22EE62D1900
ScriptStruct: PlayerLoadoutData                                - Instance: 0x22EE62D1600
ScriptStruct: WheelFX                                          - Instance: 0x22EE62B6F80
ScriptStruct: ShopAdData                                       - Instance: 0x22EE62B6B00
ScriptStruct: ShopItemCacheItem                                - Instance: 0x22EE62B6380
ScriptStruct: ReadyItemShopNotification                        - Instance: 0x22EE62B6080
ScriptStruct: SpecialEventStoreConfigs                         - Instance: 0x22EE629E980
ScriptStruct: PartyInfo                                        - Instance: 0x22EE629D600
ScriptStruct: BracketResult                                    - Instance: 0x22EE628DD80
ScriptStruct: BracketRequest                                   - Instance: 0x22EE628DC00
ScriptStruct: TeamUpdateInfo                                   - Instance: 0x22EE628CA00
ScriptStruct: TourSearchSettings                               - Instance: 0x22EE628C100
ScriptStruct: GFxTournamentReward                              - Instance: 0x22EE6277E80
ScriptStruct: TournamentResult                                 - Instance: 0x22EE6277D00
ScriptStruct: TourResult                                       - Instance: 0x22EE6277B80
ScriptStruct: TourStatus                                       - Instance: 0x22EE6267A00
ScriptStruct: UserBugReportCategory                            - Instance: 0x22EE6266800
